label	script	section	kind	value	figures
16 placebo purpose		16	text	a test that could have convicted the design and did not	
16 remaining limits		16	text	nobody holds a Case-Shiller index	
12 measured pointer		12	text	the illiquid case itself, argued rather than demonstrated	
4.3 vintage share		4.3	sentence with figures	accounts for 0.4% of the damage at a week and 2.7% at eleven weeks	0.4% 2.7%
4.3 rate difference		4.3	sentence with figures	is 2.8 points higher at most	2.8
S36 vintage share		S36	sentence with figures	0.4% of the delay's damage at one week and 2.7% at eleven	0.4% 2.7%
S36 rate difference		S36	sentence with figures	differ by at most 2.8 points	2.8
4.3 outage named		4.3	text	domestic-data outage of &delta; days	
S36 infeasible labelled		S36	text	It is infeasible under this paper's own information set	
4.4 benchmark gap		4.4	sentence with figures	differ by 62.8% of the mean level and correlate 0.35	62.8% 0.35
4.4 benchmark is normalised		4.4	text	the trailing mean of variance over its own median	
4.4 median direction disclosed		4.4	text	giving it the median at t + h while the model only holds the median at t	
7 points at its working		7	sentence with figures	Section S28 of the Internet Appendix gives the race in full	28
8 points at its working		8	sentence with figures	Section S31 of the Internet Appendix runs the whole design	31
lab43 shared rows	lab43		sentence with figures	6,747 dates	6 747
lab43 exact share	lab43		sentence with figures	99.91% of rows	99.91%
lab43 mean difference	lab43		sentence with figures	0.000222 index points	0.000222
lab43 rows outside tolerance	lab43		text	two rows fall outside	
lab43 fabricated rows	lab43		text	fifteen rows on dates United States equities were shut	
lab43 none reach the panel	lab43		text	All fifteen fall outside the panel	
lab43 substitution is inert	lab43		text	by as much as a thousandth	
11 shortened session 1		11	sentence with figures	28 November 2008	28 2008
11 shortened session 2		11	sentence with figures	24 December 2012	24 2012
11 fabricated date		11	sentence with figures	11 September 2001	11 2001
lab12 training window	lab12		sentence with figures	fitted on the first 1,250 days	1 250
lab12 validation tail	lab12		sentence with figures	scored on the last 250	250
lab12 refit frequency	lab12		sentence with figures	refitted every 21 days	21
lab12 median window	lab12		sentence with figures	trailing 252-day median	252
lab12 HAC bandwidth	lab12		sentence with figures	run to L = 40 lags	40
lab13 origin-dated rate	lab13		point+interval	the substitution rate is 71% [59, 81] against 72% [60, 81] at eleven weeks	71% 59 81 72% 60 81
4.2 quotes the implementable rate in headlines		4.2	text	quotes the origin-dated rate wherever it states a headline	
abstract leads with the implementable rate			point+interval	returns 71% [59, 81] of what eleven weeks of staleness	71% 59 81
introduction states the implementable rate			point+interval	returns 71% [59, 81] of what the delay took	71% 59 81
4.2 summary row states the implementable rate		4.2	point+interval	71% [59, 81] at eleven weeks	71% 59 81
lab15 d=0 R2 IV	lab15		statistic	0.5508	0.5508
lab15 d=0 F dR2	lab15		statistic	-0.0094	-0.0094
lab15 d=0 F GW	lab15		statistic	-2.24	-2.24
lab15 d=0 FAC dR2	lab15		statistic	-0.0107	-0.0107
lab15 d=0 FAC GW	lab15		statistic	-2.39	-2.39
lab15 d=0 RFF20 dR2	lab15		statistic	-0.0399	-0.0399
lab15 d=0 RFF20 GW	lab15		statistic	-2.49	-2.49
lab15 d=0 RFF60 dR2	lab15		statistic	-0.0519	-0.0519
lab15 d=0 RFF60 GW	lab15		statistic	-3.37	-3.37
lab15 d=3 R2 IV	lab15		statistic	0.5245	0.5245
lab15 d=3 F dR2	lab15		statistic	-0.0050	-0.0050
lab15 d=3 F GW	lab15		statistic	-0.92	-0.92
lab15 d=3 FAC dR2	lab15		statistic	-0.0094	-0.0094
lab15 d=3 FAC GW	lab15		statistic	-1.63	-1.63
lab15 d=3 RFF20 dR2	lab15		statistic	-0.0440	-0.0440
lab15 d=3 RFF20 GW	lab15		statistic	-2.00	-2.00
lab15 d=3 RFF60 dR2	lab15		statistic	-0.0597	-0.0597
lab15 d=3 RFF60 GW	lab15		statistic	-2.82	-2.82
lab15 d=5 R2 IV	lab15		statistic	0.5231	0.5231
lab15 d=5 F dR2	lab15		statistic	-0.0055	-0.0055
lab15 d=5 F GW	lab15		statistic	-0.91	-0.91
lab15 d=5 FAC dR2	lab15		statistic	-0.0073	-0.0073
lab15 d=5 FAC GW	lab15		statistic	-1.17	-1.17
lab15 d=5 RFF20 dR2	lab15		statistic	-0.0528	-0.0528
lab15 d=5 RFF20 GW	lab15		statistic	-1.98	-1.98
lab15 d=5 RFF60 dR2	lab15		statistic	-0.0683	-0.0683
lab15 d=5 RFF60 GW	lab15		statistic	-2.92	-2.92
lab15 d=13 R2 IV	lab15		statistic	0.5138	0.5138
lab15 d=13 F dR2	lab15		statistic	-0.0052	-0.0052
lab15 d=13 F GW	lab15		statistic	-0.72	-0.72
lab15 d=13 FAC dR2	lab15		statistic	-0.0095	-0.0095
lab15 d=13 FAC GW	lab15		statistic	-0.76	-0.76
lab15 d=13 RFF20 dR2	lab15		statistic	-0.0628	-0.0628
lab15 d=13 RFF20 GW	lab15		statistic	-2.12	-2.12
lab15 d=13 RFF60 dR2	lab15		statistic	-0.0739	-0.0739
lab15 d=13 RFF60 GW	lab15		statistic	-2.64	-2.64
lab15 d=21 R2 IV	lab15		statistic	0.5127	0.5127
lab15 d=21 F dR2	lab15		statistic	-0.0046	-0.0046
lab15 d=21 F GW	lab15		statistic	-0.69	-0.69
lab15 d=21 FAC dR2	lab15		statistic	-0.0156	-0.0156
lab15 d=21 FAC GW	lab15		statistic	-1.06	-1.06
lab15 d=21 RFF20 dR2	lab15		statistic	-0.0678	-0.0678
lab15 d=21 RFF20 GW	lab15		statistic	-2.12	-2.12
lab15 d=21 RFF60 dR2	lab15		statistic	-0.0800	-0.0800
lab15 d=21 RFF60 GW	lab15		statistic	-2.77	-2.77
lab15 d=55 R2 IV	lab15		statistic	0.5088	0.5088
lab15 d=55 F dR2	lab15		statistic	-0.0046	-0.0046
lab15 d=55 F GW	lab15		statistic	-0.72	-0.72
lab15 d=55 FAC dR2	lab15		statistic	-0.0045	-0.0045
lab15 d=55 FAC GW	lab15		statistic	-0.65	-0.65
lab15 d=55 RFF20 dR2	lab15		statistic	-0.0591	-0.0591
lab15 d=55 RFF20 GW	lab15		statistic	-2.03	-2.03
lab15 d=55 RFF60 dR2	lab15		statistic	-0.0660	-0.0660
lab15 d=55 RFF60 GW	lab15		statistic	-2.30	-2.30
lab15 linear GW range	lab15		sentence with figures	-0.69 and -0.92	-0.69 -0.92
lab16 d=0 differing refits	lab16		statistic	18%	18%
lab16 d=3 differing refits	lab16		statistic	50%	50%
lab16 d=5 differing refits	lab16		statistic	44%	44%
lab16 d=13 differing refits	lab16		statistic	46%	46%
lab16 d=21 differing refits	lab16		statistic	33%	33%
lab16 d=55 differing refits	lab16		statistic	33%	33%
lab16 d=0 adjustment ratio	lab16		statistic	1.10	1.10
lab16 d=3 adjustment ratio	lab16		statistic	1.60	1.60
lab16 d=5 adjustment ratio	lab16		statistic	1.27	1.27
lab16 d=13 adjustment ratio	lab16		statistic	1.11	1.11
lab16 d=21 adjustment ratio	lab16		statistic	1.03	1.03
lab16 d=55 adjustment ratio	lab16		statistic	0.95	0.95
lab16 d=0 CW separate	lab16		statistic	0.22	0.22
lab16 d=0 CW common	lab16		statistic	0.26	0.26
lab16 d=3 CW separate	lab16		statistic	6.15	6.15
lab16 d=3 CW common	lab16		statistic	6.11	6.11
lab16 d=5 CW separate	lab16		statistic	6.51	6.51
lab16 d=5 CW common	lab16		statistic	6.51	6.51
lab16 d=13 CW separate	lab16		statistic	6.15	6.15
lab16 d=13 CW common	lab16		statistic	6.12	6.12
lab16 d=21 CW separate	lab16		statistic	5.68	5.68
lab16 d=21 CW common	lab16		statistic	5.69	5.69
lab16 d=55 CW separate	lab16		statistic	6.01	6.01
lab16 d=55 CW common	lab16		statistic	6.00	6.00
lab16 d=0 GW common	lab16		statistic	-2.05	-2.05
lab16 d=3 GW common	lab16		statistic	2.94	2.94
lab16 d=5 GW common	lab16		statistic	3.86	3.86
lab16 d=13 GW common	lab16		statistic	4.24	4.24
lab16 d=21 GW common	lab16		statistic	4.06	4.06
lab16 d=55 GW common	lab16		statistic	4.62	4.62
lab16 disclosure	lab16		sentence with figures	S3. A caveat on the Clark-West column	3
lab16 remedy is decisive	lab16		sentence with figures	imposing a common penalty moves no Clark-West statistic by more than 0.05	0.05
lab16 ratio not sold as a threshold	lab16		text	We offer that ratio as a description, not a threshold	
lab16 remedy is partial	lab16		text	A common penalty reduces the departure from exact nesting rather than completely removing it	
lab16 residual named	lab16		text	the residual non-nesting of two ridge fits on designs of different width	
S2 interval inversion conceded		S2	text	any interval can be inverted into a test of the values it excludes	
lab17 h=1 row	lab17		point+interval	1 day 0.924 70% [62%, 76%] 83%	1 0.924 70% 62% 76% 83%
lab17 h=5 row	lab17		point+interval	5 days 0.519 72% [60%, 81%] 81%	5 0.519 72% 60% 81% 81%
lab17 h=10 row	lab17		point+interval	10 days 0.367 66% [49%, 78%] 73%	10 0.367 66% 49% 78% 73%
lab17 h=21 row	lab17		point+interval	21 days 0.203 51% [23%, 70%] 65%	21 0.203 51% 23% 70% 65%
lab17 h=1 own R2	lab17		statistic	0.924	0.924
lab17 target autocorrelation	lab17		statistic	0.953	0.953
lab17 target autocorrelation	lab17		statistic	0.692	0.692
lab17 target autocorrelation	lab17		statistic	0.576	0.576
lab17 target autocorrelation	lab17		statistic	0.417	0.417
lab18 d=0 domestic median	lab18		statistic	1.26	1.26
lab18 d=0 domestic outside 2x	lab18		statistic	31.1%	31.1%
lab18 d=55 domestic median	lab18		statistic	1.90	1.90
lab18 d=55 domestic outside 2x	lab18		statistic	59.2%	59.2%
lab18 d=55 cross median	lab18		statistic	1.27	1.27
lab18 d=55 cross outside 2x	lab18		statistic	37.1%	37.1%
lab18 understating tail range	lab18		sentence with figures	8.6% and 11.4%	8.6% 11.4%
lab19 reduced window	lab19		sentence with figures	1,240	1 240
lab19 peak VIX full	lab19		statistic	82.7	82.7
lab19 peak VIX reduced	lab19		statistic	41.4	41.4
12 VSTOXX verdict		12	text	it adds nothing at any delay and is mildly negative at all six	
lab22 d=0 row	lab22		sentence with figures	0.5191 0.5203 0.5204 0.5179 0.5092 +0.0112 2.66	0.5191 0.5203 0.5204 0.5179 0.5092 +0.0112 2.66
lab22 d=3 row	lab22		sentence with figures	0.4098 0.4603 0.4614 0.4588 0.4495 +0.0119 1.80	0.4098 0.4603 0.4614 0.4588 0.4495 +0.0119 1.80
lab22 d=5 row	lab22		sentence with figures	0.3641 0.4541 0.4556 0.4532 0.4438 +0.0118 1.72	0.3641 0.4541 0.4556 0.4532 0.4438 +0.0118 1.72
lab22 d=13 row	lab22		sentence with figures	0.2336 0.4249 0.4275 0.4256 0.4155 +0.0120 1.51	0.2336 0.4249 0.4275 0.4256 0.4155 +0.0120 1.51
lab22 d=21 row	lab22		sentence with figures	0.1482 0.4091 0.4122 0.4092 0.3981 +0.0141 1.56	0.1482 0.4091 0.4122 0.4092 0.3981 +0.0141 1.56
lab22 d=55 row	lab22		sentence with figures	0.0070 0.3876 0.3922 0.3889 0.3736 +0.0186 1.57	0.0070 0.3876 0.3922 0.3889 0.3736 +0.0186 1.57
no duplicate Table 6			sentence with figures	Table 7. Block-length and bootstrap-family sensitivity	7
hard labels: usefulness, not computability			text	makes the Brier score equivalent to the error rate and makes the log score infinite after any error	
proper scores filed correctly			text	the Brier and log scores evaluate probability forecasts of the binary event, which is what they are proper for	
one evaluation target for all forecasters			text	CC and YZ denote alternative information variables a forecaster may hold, not alternative evaluation targets	
lab23 d=0 redundancy row	lab23		sentence with figures	0.5547 0.5559 0.5558 0.5443 +0.0012 0.42 +0.0011 0.41	0.5547 0.5559 0.5558 0.5443 +0.0012 0.42 +0.0011 0.41
lab23 d=3 redundancy row	lab23		sentence with figures	0.5337 0.5359 0.5362 0.5233 +0.0021 0.86 +0.0024 0.95	0.5337 0.5359 0.5362 0.5233 +0.0021 0.86 +0.0024 0.95
lab23 d=5 redundancy row	lab23		sentence with figures	0.5327 0.5354 0.5358 0.5233 +0.0027 0.87 +0.0030 0.97	0.5327 0.5354 0.5358 0.5233 +0.0027 0.87 +0.0030 0.97
lab23 d=13 redundancy row	lab23		sentence with figures	0.5261 0.5297 0.5301 0.5171 +0.0036 0.92 +0.0040 1.01	0.5261 0.5297 0.5301 0.5171 +0.0036 0.92 +0.0040 1.01
lab23 d=21 redundancy row	lab23		sentence with figures	0.5247 0.5283 0.5287 0.5151 +0.0037 0.95 +0.0041 1.04	0.5247 0.5283 0.5287 0.5151 +0.0037 0.95 +0.0041 1.04
lab23 d=55 redundancy row	lab23		sentence with figures	0.5266 0.5306 0.5307 0.5172 +0.0040 1.13 +0.0041 1.12	0.5266 0.5306 0.5307 0.5172 +0.0040 1.13 +0.0041 1.12
lab23 FULL rate	lab23		point+interval	71.6% [60.2%, 80.4%]	71.6% 60.2% 80.4%
lab23 MEAN rate	lab23		point+interval	74.3% [64.4%, 82.7%]	74.3% 64.4% 82.7%
lab23 PC1 rate	lab23		point+interval	75.2% [65.4%, 83.5%]	75.2% 65.4% 83.5%
lab23 sign flip	lab23		text	The sign flips and the conclusion does not	
lab21 d=0 generator row	lab21		sentence with figures	-0.0099 -0.0120 -0.0117 0.0008 -0.0316 +0.0021 +0.0018	-0.0099 -0.0120 -0.0117 0.0008 -0.0316 +0.0021 +0.0018
lab21 d=1 generator row	lab21		sentence with figures	-0.0006 -0.0142 -0.0134 0.0010 -0.0318 +0.0136 +0.0129	-0.0006 -0.0142 -0.0134 0.0010 -0.0318 +0.0136 +0.0129
lab21 d=3 generator row	lab21		sentence with figures	+0.0397 -0.0189 -0.0169 0.0013 -0.0328 +0.0587 +0.0566	+0.0397 -0.0189 -0.0169 0.0013 -0.0328 +0.0587 +0.0566
lab21 d=5 generator row	lab21		sentence with figures	+0.0797 -0.0232 -0.0201 0.0015 -0.0341 +0.1029 +0.0998	+0.0797 -0.0232 -0.0201 0.0015 -0.0341 +0.1029 +0.0998
lab21 d=13 generator row	lab21		sentence with figures	+0.1819 -0.0392 -0.0335 0.0026 -0.0418 +0.2212 +0.2154	+0.1819 -0.0392 -0.0335 0.0026 -0.0418 +0.2212 +0.2154
lab21 d=21 generator row	lab21		sentence with figures	+0.2499 -0.0523 -0.0467 0.0038 -0.0498 +0.3023 +0.2966	+0.2499 -0.0523 -0.0467 0.0038 -0.0498 +0.3023 +0.2966
lab21 d=55 generator row	lab21		sentence with figures	+0.3666 -0.0673 -0.0666 0.0068 -0.0655 +0.4338 +0.4332	+0.3666 -0.0673 -0.0666 0.0068 -0.0655 +0.4338 +0.4332
lab21 largest gap	lab21		sentence with figures	largest gap is 0.0058 of R&sup2; at &delta; = 13	0.0058 2 13
lab21 closest call	lab21		sentence with figures	which is 0.60 of the tolerance there	0.60
lab21 test days lost per naive draw	lab21		sentence with figures	about 187 test days per draw	187
lab21 naive penalty at d=0	lab21		sentence with figures	sits 0.0199 of R&sup2; below the corrected estimate	0.0199 2
lab21 naive penalty at d=55	lab21		sentence with figures	and 0.0011 below it at &delta; = 55	0.0011 55
lab21 near-identity draw	lab21		sentence with figures	scored +0.1816 on its own	+0.1816
lab21 near-identity spread	lab21		sentence with figures	standard deviation of 0.0680	0.0680
lab21 agreement claim	lab21		text	The two generators agree at every delay	
lab21 Fieller ordinary intervals	lab21		text	one day to eleven weeks the confidence set is an ordinary interval	
lab21 Fieller endpoint gap	lab21		sentence with figures	1.6 percentage points	1.6
lab21 Fieller d=55 pair	lab21		interval	[59%, 81%] against [60%, 81%]	59% 81% 60% 81%
lab28 d=0 split row	lab28		sentence with figures	0.5191 0.5204 0.5082 0.5092 +0.0013 -0.0109 2.81	0.5191 0.5204 0.5082 0.5092 +0.0013 -0.0109 2.81
lab28 d=3 split row	lab28		sentence with figures	0.4098 0.4614 0.3991 0.4495 +0.0516 -0.0107 4.43	0.4098 0.4614 0.3991 0.4495 +0.0516 -0.0107 4.43
lab28 d=5 split row	lab28		sentence with figures	0.3641 0.4556 0.3550 0.4438 +0.0915 -0.0091 4.87	0.3641 0.4556 0.3550 0.4438 +0.0915 -0.0091 4.87
lab28 d=13 split row	lab28		sentence with figures	0.2336 0.4275 0.2271 0.4155 +0.1939 -0.0065 4.72	0.2336 0.4275 0.2271 0.4155 +0.1939 -0.0065 4.72
lab28 d=21 split row	lab28		sentence with figures	0.1482 0.4122 0.1359 0.3981 +0.2641 -0.0123 4.16	0.1482 0.4122 0.1359 0.3981 +0.2641 -0.0123 4.16
lab28 d=55 split row	lab28		sentence with figures	0.0070 0.3922 -0.0196 0.3736 +0.3852 -0.0266 4.66	0.0070 0.3922 -0.0196 0.3736 +0.3852 -0.0266 4.66
lab28 verdict	lab28		text	is negative at every delay	
lab28 rotation check	lab28		sentence with figures	to within 0.0010 of R&sup2; at every delay	0.0010 2
lab27 ladder row 1	lab27		point+interval	43.3% [+27.4%, +55.9%]	43.3% +27.4% +55.9%
lab27 ladder row 2	lab27		point+interval	57.0% [+40.7%, +68.7%]	57.0% +40.7% +68.7%
lab27 ladder row 3	lab27		point+interval	63.1% [+46.2%, +73.1%]	63.1% +46.2% +73.1%
lab27 ladder row 4	lab27		point+interval	63.1% [+40.2%, +77.5%]	63.1% +40.2% +77.5%
lab27 ladder row 5	lab27		point+interval	29.9% [+21.7%, +38.2%]	29.9% +21.7% +38.2%
lab27 ladder row 6	lab27		point+interval	23.9% [+15.7%, +31.4%]	23.9% +15.7% +31.4%
lab27 direction	lab27		text	it roughly doubles, and it rises monotonically	
lab27 redundancy in stress	lab27		text	the foreign block adds significantly in none	
lab27 severest rung size	lab27		sentence with figures	severest rung carries 324 days	324
lab27 top-5% row	lab27		sentence with figures	VIX top 5% 367 63.1%	5% 367 63.1%
lab27 top-33% row	lab27		sentence with figures	VIX top 33% 1,729 43.3%	33% 1 729 43.3%
lab27 calm row	lab27		sentence with figures	VIX bottom 67% 3,074 29.9%	67% 3 074 29.9%
Table 15 row delta=3			sentence with figures	3 36% 9% -8% -15% -14% -10%	3 36% 9% -8% -15% -14% -10%
Table 15 row delta=5			sentence with figures	5 51% 29% 13% -0% -11% -8%	5 51% 29% 13% -0% -11% -8%
Table 15 row delta=13			sentence with figures	13 64% 52% 42% 34% 22% -1%	13 64% 52% 42% 34% 22% -1%
Table 15 row delta=21			sentence with figures	21 68% 57% 50% 44% 33% 16%	21 68% 57% 50% 44% 33% 16%
Table 15 row delta=55			sentence with figures	55 71% 64% 58% 53% 46% 30%	55 71% 64% 58% 53% 46% 30%
Table 18 row delta=3			sentence with figures	3 1.7d 2.7d 3.3d 3.7d 3.6d 3.4d	3 1.7 2.7 3.3 3.7 3.6 3.4
Table 18 row delta=5			sentence with figures	5 1.9d 3.0d 4.0d 5.0d 5.9d 5.6d	5 1.9 3.0 4.0 5.0 5.9 5.6
Table 18 row delta=13			sentence with figures	13 2.8d 4.2d 5.5d 6.8d 8.9d 13.2d	13 2.8 4.2 5.5 6.8 8.9 13.2
Table 18 row delta=21			sentence with figures	21 3.5d 5.2d 6.7d 8.1d 10.5d 15.0d	21 3.5 5.2 6.7 8.1 10.5 15.0
Table 18 row delta=55			sentence with figures	55 4.6d 6.8d 8.4d 10.0d 12.6d 19.4d	55 4.6 6.8 8.4 10.0 12.6 19.4
8.3 exchange rate		8.3	sentence with figures	0.13, 0.35, 1.03, 1.13 and 1.44 days	0.13 0.35 1.03 1.13 1.44
8.3 monotone exchange rate		8.3	text	rising at every step	
8.3 staleness cell count		8.3	sentence with figures	significantly in 25 of the 30 cells	25 30
8.3 one-day count		8.3	sentence with figures	in 5 of the 6 delays a single day is already enough	5 6
8.3 clock correlation		8.3	sentence with figures	with a correlation of +0.93	+0.93
8.3 clock row FTSE		8.3	sentence with figures	0.013 and 0.019 for the FTSE and the DAX	0.013 0.019
8.3 clock row DAX		8.3	text	four and a half hours ahead of New York	
8.3 clock row BVSP		8.3	sentence with figures	against 0.051 for Bovespa	0.051
8.3 direction of the raw asymmetry		8.3	text	all seven peers appear to LAG the target	
8.3 factor lag count		8.3	sentence with figures	beats every lagged version in 26 of 30 cells	26 30
8.3 factor history delays		8.3	sentence with figures	does add to today's at &delta; = 3 and &delta; = 5, and at no longer delay	3 5
Table S3 row delta=5			sentence with figures	5 0.3641 0.3770	5 0.3641 0.3770
Table S3 rates and interval delta=5			sentence with figures	51% 47% −4.0% [−11.8, +1.8]	51% 47% 4.0% 11.8 +1.8
Table S3 row delta=13			sentence with figures	13 0.2336 0.2542	13 0.2336 0.2542
Table S3 rates and interval delta=13			sentence with figures	64% 60% −3.5% [−9.9, +0.5]	64% 60% 3.5% 9.9 +0.5
Table S3 row delta=21			sentence with figures	21 0.1482 0.1796	21 0.1482 0.1796
Table S3 rates and interval delta=21			sentence with figures	67% 64% −3.3% [−9.1, +0.3]	67% 64% 3.3% 9.1 +0.3
Table S3 row delta=55			sentence with figures	55 0.0070 0.0572	55 0.0070 0.0572
Table S3 rates and interval delta=55			sentence with figures	72% 68% −4.1% [−9.7, −0.6]	72% 68% 4.1% 9.7 0.6
9.1 cells improved		9.1	sentence with figures	beats the paper's in 11 of 45 cells	11 45
9.1 level does the work		9.1	text	at nine delays out of nine	
9.1 rate moves		9.1	sentence with figures	significantly at &delta; = 34 and 55	34 55
9.1 level split		9.1	sentence with figures	scores -0.0428, which is worse, and adding the level alone scores +0.0308	-0.0428 +0.0308
9.1 level grows with delay		9.1	sentence with figures	+0.0011 of R&sup2; at zero delay against +0.0736 at eleven weeks	+0.0011 2 +0.0736
9.2 halves overlap		9.2	sentence with figures	77% against 67% at eleven weeks, with overlapping intervals	77% 67%
9.2 within-tercile null		9.2	text	not one of twelve cells differs significantly	
9.2 path range		9.2	sentence with figures	22% in the window ending April 2019 to 91% in the window ending April 2015	22% 2019 91% 2015
9.2 trend		9.2	sentence with figures	22 points a decade at five days and 12 at eleven weeks	22 12
Table 20 stressed 64			point+interval	64% [49, 81]	64% 49 81
Table 20 stressed 74			point+interval	74% [64, 84]	74% 64 84
Table 20 stressed 77			point+interval	77% [68, 85]	77% 68 85
Table 20 stressed 81			point+interval	81% [74, 87]	81% 74 87
9.3 RC size		9.3	sentence with figures	rejects 5.5% and 7.0% of the time	5.5% 7.0%
9.3 survives		9.3	sentence with figures	survives both tests at &delta; = 3, 5, 13, 21 and 55 with p below 0.0005	3 5 13 21 55 0.0005
9.3 delta-0 absence		9.3	sentence with figures	the best margin across all nine models is +0.0014	+0.0014
9.4 purge load-bearing		9.4	point+interval	+0.0024 [+0.00062, +0.00387] at zero delay and +0.0021 [+0.00017, +0.00382] at three days	+0.0024 +0.00062 +0.00387 +0.0021 +0.00017 +0.00382
9.4 embargo		9.4	text	costs nothing detectable in any of eighteen cells	
Table 21 row SPX			point+interval	51% [35, 66] 64% [51, 74] 67% [55, 78] 72% [60, 81]	51% 35 66 64% 51 74 67% 55 78 72% 60 81
Table 21 row FTSE			point+interval	74% [53, 91] 82% [68, 93] 84% [71, 94] 88% [77, 96]	74% 53 91 82% 68 93 84% 71 94 88% 77 96
Table 21 row DAX			point+interval	55% [37, 70] 69% [55, 79] 71% [58, 80] 74% [65, 82]	55% 37 70 69% 55 79 71% 58 80 74% 65 82
Table 21 row HSI			point+interval	61% [32, 88] 68% [46, 90] 69% [50, 88] 69% [55, 84]	61% 32 88 68% 46 90 69% 50 88 69% 55 84
Table 21 row N225			point+interval	44% [5, 74] 54% [23, 75] 55% [24, 75] 60% [36, 76]	44% 5 74 54% 23 75 55% 24 75 60% 36 76
9.1 normaliser test		9.1	sentence with figures	retains between 87% and 103% of the gain	87% 103%
9.1 normaliser numbers		9.1	sentence with figures	+0.0656 against +0.0638 at eleven weeks	+0.0656 +0.0638
9.1 correction survives		9.1	sentence with figures	moves R(55) from 73% to 69%	55 73% 69%
12 conditional limitation		12	text	The unconditional rate averages two states in which the mechanism behaves differently	
13 conditional recommendation		13	sentence with figures	about 80% of the delay-induced loss recovered in stressed markets, where the estimate is stable and tight	80%
13 names both unconditional figures		13	sentence with figures	72% against the paper's own control and 68% against the stronger control	72% 68%
4.5 states the identification problem		4.5	sentence with figures	approaches zero and the ratio is weakly identified, so a uniformly valid confidence procedure must be free to return an unbounded set (Dufour 1997)	1997
4.5 names the bootstrap as the source		4.5	sentence with figures	The published intervals are a bootstrap of the whole ratio, and each is checked by inverting a HAC t-test after Fieller (1954)	1954
9.2 Fieller applied		9.2	text	Every one comes back an ordinary interval	
9.2 VIX tension		9.2	text	can see it whether or not any option trades on the thing they own	
14 compression is the model to run		14	sentence with figures	a single real-time factor beating all seven series at every delay and raising R(55) to 75.2%	55 75.2%
14 seven regressors not recommended		14	text	compress the cross-section first and treat the seven-regressor figures as the conservative benchmark	
8 horizon mismatch		8	text	measured over a horizon about four times the length of the thing it is forecasting, not six	
8 matched instrument named		8	sentence with figures	a nine-day index, VIX9D, formerly VXST	9
Table 20 row delta=5			sentence with figures	5 0.0284 0.1567 5.5&times; 0.0673 0.2434 3.6&times;	5 0.0284 0.1567 5.5 0.0673 0.2434 3.6
Table 20 row delta=13			sentence with figures	13 0.0345 0.3787 11.0&times; 0.0798 0.5110 6.4&times;	13 0.0345 0.3787 11.0 0.0798 0.5110 6.4
Table 20 row delta=21			sentence with figures	21 0.0412 0.5224 12.7&times; 0.1003 0.6755 6.7&times;	21 0.0412 0.5224 12.7 0.1003 0.6755 6.7
Table 20 row delta=55			sentence with figures	55 0.0583 0.8043 13.8&times; 0.1234 0.9927 8.0&times;	55 0.0583 0.8043 13.8 0.1234 0.9927 8.0
9.2 numerator moves		9.2	sentence with figures	stress multiplies N by 10.7 and D by 6.2	10.7 6.2
9.2 absolute reading		9.2	sentence with figures	removes 0.8043 of squared error in stressed markets against 0.0583 in calm	0.8043 0.0583
6 decay fit		6	sentence with figures	R&sup2; = 0.9980	2 0.9980
6 decay slope		6	sentence with figures	slope -0.05419 per day	-0.05419
6 implied persistence		6	sentence with figures	implying &phi; = 0.9733	0.9733
6 measured persistence		6	sentence with figures	is 0.9678	0.9678
6 predicted ceiling		6	sentence with figures	giving a ceiling of 72.0%	72.0%
6 agreement		6	sentence with figures	The two agree to 0.0055	0.0055
6 flatness		6	sentence with figures	it falls 27%, against 99% for the domestic model	27% 99%
6 ceiling met		6	sentence with figures	against a measured 69.8% at &delta; = 34 and 71.6% at &delta; = 55	69.8% 34 71.6% 55
6 ceiling is interpretation		6	text	a factor-model interpretation of the observed plateau rather than a prediction of it	
6 ceiling identity shown		6	sentence with figures	this collapses to S cross (55) &divide; S own (0), which is equation (12)	55 0 12
6 what it cannot do		6	text	What the model does not explain is why the mechanism is stronger in stress	
abstract effective age			point+interval	forecasts as well as a mark 4.6 days old [2.5, 8.4]	4.6 2.5 8.4
abstract exchange rate			point+interval	costs 2.1 days [1.4, 3.3] of domestic freshness	2.1 1.4 3.3
abstract conditional rate			point+interval	81% [74, 87] in	81% 74 87
10 quotes the stronger control beside its own		10	sentence with figures	68% against the strongest control alongside its own	68%
the paper names the envelope's section			sentence with figures	against the stronger control of Section S4 of the Internet Appendix	4
Table 1 stronger-control difference			sentence with figures	is 4.1 points below the paper's own	4.1
Table 1 stronger-control interval			interval	[-9.7, -0.6]	-9.7 -0.6
abstract normalisation finding			text	Restoring that level is worth more at long delays than the entire cross-section	
compression advice			text	one real-time factor	
12 foreign-feed condition		12	sentence with figures	36% into 9% at three days and its 51% into 29% at five	36% 9% 51% 29%
13 prediction from 5.3		13	text	the remainder is negative at every delay and beats the stale domestic model at none	
13 cross-asset test		13	text	Breadth ACROSS asset classes is	
13 FX first		13	text	current by construction, not by luck of the clock	
12 unverified seam		12	sentence with figures	eight overlap by 120 to 251 days and agree exactly on every overlapping row, while the S&P's two files abut without overlapping	120 251
3 headline-loss defence		3	text	the headline number in this paper is the one loss of the three that is NOT proxy-robust	
3 headline-loss reason		3	text	a ratio needs a denominator a reader can hold	
lab57 Jan/Apr/Jul/Oct d=1 S_own	lab57		statistic	0.3092	0.3092
